,website,title,date,media_type,link,content,prediction,
302,aljazeera,Spain halts controversial $7.5m deal to buy ammunition from Israeli company,2025-04-24,news,https://www.aljazeera.com/news/2025/4/24/spain-halts-controversial-7-5m-deal-to-buy-ammunition-from-israeli-company,"Madrid, Spain – Spain’s government halted a controversial $7.5m deal to buy ammunition from Israel on Thursday, following criticism of it from far-left allies within the governing minority coalition.The country’s socialist prime minister, Pedro Sanchez, intervened to cancel the deal after Sumar, a group of left-wing parties, threatened to pull out of the governing coalition.“After exhausting all routes for negotiation, the prime minister, deputy prime minister and ministries involved have decided to rescind this contract with the Israeli company IMI Systems,” a government source, who did not want to be named according to Spanish government practice, told Al Jazeera on Thursday.Spain has been critical of Israel’s war on Gaza, and in October 2023, pledged to stop selling weapons to Israel. In February 2024, it said it also would not buy weapons from Israel. However, in the same month, the Spanish Ministry of Interior signed a deal with IMI Solutions to purchase 15 million rounds of ammunition. The ammunition was destined for the Civil Guard, Spain’s semi-military police force.However, after protests from five ministers from Sumar, the Spanish government began a study to determine whether it was feasible to cancel the order.“In October 2024, a study was started into the possible ending of the contract. After the study, the ministry decided to follow the recommendation from the state attorney, who advised against the ending of the contract at that stage, so the contract was honoured,” a spokesperson for the Spanish Interior Ministry told Al Jazeera, adding that ending “the contract would have involved paying … [IMI Solutions] without receiving the material.”On Wednesday, April 23, the Interior Ministry said it would go ahead with the arms deal, six months after seeking to cancelling it, to avoid paying compensation to the Israeli company.In response, Yolanda Díaz, deputy prime minister and leader of Sumar, told reporters in Barcelona, “This deal must be rectified. I insist, it is a flagrant violation of the agreements when we are witnessing the live genocide of the Palestinian people.”Analysts said the row could further damage already tense relations between the Socialists and Sumar in Spain’s fragile government, especially after Sanchez announced on Tuesday that his government would raise defence spending to 2 percent of gross domestic product (GDP) to hit NATO targets, a move which angered Sumar. Under pressure from US President Donald Trump, Spain, which has the lowest NATO budget among its 32 members, rolled out a 10.5-billion-euro ($12bn) plan to meet the 2-percent goal this year.Spaniards were divided over the ammunition deal, with a poll for online newspaper 20minutos.es showing that 48.46 percent of the 7,871 people surveyed opposed it, while 46.94 percent backed the deal and 4.58 percent did not know how they felt.“Buying this ammunition would have shown that Spain is not supporting Palestine. It would have been a betrayal of the [more than] 50,000 people who have died in Gaza in the genocide there,” Igor Otxoa, of the Guernica Palestine organisation, a civic organisation, told Al Jazeera.In the wake of the dispute, Veronica Martinez Barbero, Sumar’s parliamentary spokesperson, told Al Jazeera Spain should not go ahead with the contract.“There is a question of not completing promises. The defence minister said Spain would not buy these weapons. We want this to be rectified, and this contract not be completed,” she said.But not everybody has supported the decision to cancel the contract. Astrid Barrio Lopez, a political analyst at the University of Valencia, told Al Jazeera the decision “shows that there is little judicial security for companies dealing with the Spanish government and little leadership within the government”.The Israeli embassy in Madrid could not be reached for comment.Late Thursday, Israel criticised Spain’s decision to halt the ammunition deal and accused it of “sacrificing security considerations for political purposes”.“Israel strongly condemns the decision by the Spanish government to unilaterally breach a contract signed with the defense company IMI Systems, and its announcement that it will refrain from future defense deals with Israeli companies,” said Israel’s Foreign Ministry in a statement to the AFP news agency.It added, Spain “continues to stand on the wrong side of history – against the Jewish state that is defending itself from terrorist attacks”.",0,
303,aljazeera,Spain halts controversial $7.5m deal to buy ammunition from Israeli company,2025-04-24,news,https://www.aljazeera.com/news/2025/4/24/spain-halts-controversial-7-5m-deal-to-buy-ammunition-from-israeli-company,"Madrid, Spain – Spain’s government halted a controversial $7.5m deal to buy ammunition from Israel on Thursday, following criticism of it from far-left allies within the governing minority coalition.The country’s socialist prime minister, Pedro Sanchez, intervened to cancel the deal after Sumar, a group of left-wing parties, threatened to pull out of the governing coalition.“After exhausting all routes for negotiation, the prime minister, deputy prime minister and ministries involved have decided to rescind this contract with the Israeli company IMI Systems,” a government source, who did not want to be named according to Spanish government practice, told Al Jazeera on Thursday.Spain has been critical of Israel’s war on Gaza, and in October 2023, pledged to stop selling weapons to Israel. In February 2024, it said it also would not buy weapons from Israel. However, in the same month, the Spanish Ministry of Interior signed a deal with IMI Solutions to purchase 15 million rounds of ammunition. The ammunition was destined for the Civil Guard, Spain’s semi-military police force.However, after protests from five ministers from Sumar, the Spanish government began a study to determine whether it was feasible to cancel the order.“In October 2024, a study was started into the possible ending of the contract. After the study, the ministry decided to follow the recommendation from the state attorney, who advised against the ending of the contract at that stage, so the contract was honoured,” a spokesperson for the Spanish Interior Ministry told Al Jazeera, adding that ending “the contract would have involved paying … [IMI Solutions] without receiving the material.”On Wednesday, April 23, the Interior Ministry said it would go ahead with the arms deal, six months after seeking to cancelling it, to avoid paying compensation to the Israeli company.In response, Yolanda Díaz, deputy prime minister and leader of Sumar, told reporters in Barcelona, “This deal must be rectified. I insist, it is a flagrant violation of the agreements when we are witnessing the live genocide of the Palestinian people.”Analysts said the row could further damage already tense relations between the Socialists and Sumar in Spain’s fragile government, especially after Sanchez announced on Tuesday that his government would raise defence spending to 2 percent of gross domestic product (GDP) to hit NATO targets, a move which angered Sumar. Under pressure from US President Donald Trump, Spain, which has the lowest NATO budget among its 32 members, rolled out a 10.5-billion-euro ($12bn) plan to meet the 2-percent goal this year.Spaniards were divided over the ammunition deal, with a poll for online newspaper 20minutos.es showing that 48.46 percent of the 7,871 people surveyed opposed it, while 46.94 percent backed the deal and 4.58 percent did not know how they felt.“Buying this ammunition would have shown that Spain is not supporting Palestine. It would have been a betrayal of the [more than] 50,000 people who have died in Gaza in the genocide there,” Igor Otxoa, of the Guernica Palestine organisation, a civic organisation, told Al Jazeera.In the wake of the dispute, Veronica Martinez Barbero, Sumar’s parliamentary spokesperson, told Al Jazeera Spain should not go ahead with the contract.“There is a question of not completing promises. The defence minister said Spain would not buy these weapons. We want this to be rectified, and this contract not be completed,” she said.But not everybody has supported the decision to cancel the contract. Astrid Barrio Lopez, a political analyst at the University of Valencia, told Al Jazeera the decision “shows that there is little judicial security for companies dealing with the Spanish government and little leadership within the government”.The Israeli embassy in Madrid could not be reached for comment.Late Thursday, Israel criticised Spain’s decision to halt the ammunition deal and accused it of “sacrificing security considerations for political purposes”.“Israel strongly condemns the decision by the Spanish government to unilaterally breach a contract signed with the defense company IMI Systems, and its announcement that it will refrain from future defense deals with Israeli companies,” said Israel’s Foreign Ministry in a statement to the AFP news agency.It added, Spain “continues to stand on the wrong side of history – against the Jewish state that is defending itself from terrorist attacks”.",0,
304,aljazeera,Pro-Palestinian demonstrators protest Ben-Gvir’s visit near Yale University,2025-04-24,program/newsfeed,https://www.aljazeera.com/program/newsfeed/2025/4/24/pro-palestinian-demonstrators-protest-ben-gvirs-yale-visit,"Pro-Palestinian protesters threw objects towards Israel’s far-right minister Itamar Ben-Gvir as he visited Shabtai, a private Jewish society that is based at Yale but is not formally affiliated with the university.",0,
305,aljazeera,‘Insulting’: Hamas condemns Abbas’s remarks on Gaza captives,2025-04-24,news,https://www.aljazeera.com/news/2025/4/24/hamas-condemns-abbass-remarks-over-gaza-hostages,"Hamas has condemned remarks made by Palestinian Authority (PA) President Mahmoud Abbas, who urged the Palestinian group ruling Gaza to release Israeli captives and lay down arms.Senior Hamas official Basem Naim said on Thursday that Abbas’s remarks made a day earlier were “insulting”.“Abbas repeatedly and suspiciously lays the blame for the crimes of the occupation and its ongoing aggression on our people,” he said.Abbas on Wednesday urged Hamas to free all captives, saying keeping them provided Israel with “excuses” to attack Gaza.“Hamas has given the criminal occupation excuses to commit its crimes in the Gaza Strip, the most prominent being the holding of hostages,” Abbas said at a meeting in Ramallah, the PA’s seat in the Israeli-occupied West Bank.“I’m the one paying the price, our people are paying the price, not Israel. My brother, just hand them over.”“Every day there are deaths,” Abbas said. “You sons of dogs, hand over what you have and get us out of this” ordeal, he added, levelling a harsh Arabic epithet at Hamas.There have been deep political and ideological divisions between Abbas’s Fatah party and Hamas for nearly 20 years.Abbas and the PA have often accused Hamas of undermining Palestinian unity, while Hamas has criticised the former for collaborating with Israel and cracking down on West Bank dissent.The Palestinian Mujahideen Movement, which split from Abbas’s Fatah in the 2000s, issued a statement on Telegram on Wednesday condemning Abbas’s remarks.“We strongly condemn the offensive statements made by President Abbas during the Central Council meeting regarding the resistance and our people’s resistance fighters, disregarding the sacrifices and struggle of our people and ignoring the suffering and ongoing sacrifices of the prisoners,” read the statement.“We condemn the PA leadership’s continued pursuit of this discourse, which criminalizes the resistance and absolves the occupation of its ongoing crimes against our people for decades, especially the genocidal war against Gaza, the annexation and Judaization of the West Bank and Jerusalem, and the severe suffering endured by our valiant prisoners.”The movement also called on Abbas to issue an apology for his remarks.“We call on the President of the Palestinian Authority to apologize for this offensive speech and reverse all steps that reinforce division and align with Zionist will. We call on him to return to the embrace of the people and their choices and to cease pursuing the absurd path of surrender and compromise.”Since Israel’s campaign in Gaza resumed on March 18, at least 1,928 people have been killed in Gaza, bringing the total death toll since the war erupted to at least 51,305, according to the enclave’s Ministry of Health.Talks on a new ceasefire have so far been fruitless, and a Hamas delegation is in Cairo for renewed negotiations with Egyptian and Qatari mediators.",0,
306,aljazeera,‘No mercy’: Israel keeps blocking aid amid systematic destruction of Gaza,2025-04-24,news,https://www.aljazeera.com/news/2025/4/24/no-mercy-israel-keeps-blocking-aid-amid-systematic-destruction-of-gaza,"Israel has maintained an eight-week blockade on food, medicine and aid entering Gaza, while continuing aerial attacks on homes and tent shelters – deepening what the United Nations describes as the war’s “worst humanitarian crisis”.Overnight and early Thursday morning, at least 13 people were killed in Israeli attacks, according to Al Jazeera correspondents. Among the dead were three children in a tent near Nuseirat in central Gaza, and a woman and four children in a home in Gaza City.Also reportedly killed in a recent attack was local journalist Saeed Abu Hassanein, whose death adds to at least 232 slain reporters in Gaza during the war.“The Gaza Strip is witnessing a clear military escalation and a soaring humanitarian crisis,” reported Al Jazeera’s Tareq Abu Azzoum from central Gaza’s Deir el-Balah. He noted that rescuers, with much of their equipment damaged or destroyed, are increasingly struggling to reach victims trapped under wreckage.The communication centre of the Palestinian Authority, which governs the occupied West Bank, said there was “no pause”, “no mercy”, “no humanity” to Israel’s attacks.The statement accompanied video footage showing an Israeli tank moving through the apparent remains of the Shaboura refugee camp in southern Gaza.“In Shaboura refugee camp, as in every other corner in Gaza, the devastation never ends,” the centre said.Gaza’s humanitarian crisis is compounded by Israel’s continued aid blockade, which the acting head of the UN Office for the Coordination of Humanitarian Affairs (OCHA) has described as a seeming “deliberate dismantling of Palestinian life”.“The Gaza Strip is now likely facing the worst humanitarian crisis in the 18 months since the escalation of hostilities in October 2023,” said OCHA in its latest situation update on April 23.Gaza’s Ministry of Health highlighted the “dangerous and catastrophic” toll on women and children facing malnutrition, with many lacking adequate food, drinking water and baby formula.Israel’s continued refusal to let aid into Gaza defies a World Court order dating back to May 2024 for it to urgently facilitate aid into the enclave to prevent famine and starvation.",1,
307,aljazeera,Ben-Gvir: US Republicans support bombing Gaza ‘food and aid depots’,2025-04-23,news,https://www.aljazeera.com/news/2025/4/23/ben-gvir-us-republicans-support-bombing-gaza-food-and-aid-depots,"Far-right Israeli minister Itamar Ben-Gvir has claimed that top US Republican lawmakers support bombing “food and aid depots” in Gaza.The statement, made in a social media post on Wednesday, came after the Israeli national security minister said he had met with “senior Republican Party officials at [US President Donald] Trump’s Mar-a-Lago estate” in Florida in the United States.“They expressed support for my very clear position on how to act in Gaza and that the food and aid depots should be bombed in order to create military and political pressure to bring our hostages home safely,” Ben-Gvir posted on X in Hebrew.The US president was not at the event, according to his public schedule.Ben-Gvir’s post did not specify which Republicans were in attendance. However, Ben-Gvir’s office told Israeli media that Republican Congressman Tom Emmer, considered to be the third-highest-ranking member of the US House of Representatives, was among the lawmakers present.The Times of Israel and the Jewish News Syndicate were among the news outlets that cited Ben-Gvir’s office in reporting Emmer’s presence, which also appeared to be confirmed by video of the event.The congressman has been one of the leading voices in the US Congress supporting Israel amid the war in Gaza, and has regularly said that Hamas, and not Israel, was to blame for the high rate of civilian deaths in the Palestinian enclave.A spokesman for Emmer did not reply to a request for comment from Al Jazeera regarding the Mar-a-Lago visit and whether the congressman supported Ben-Gvir’s position on attacking food and aid sites.To date, the Health Ministry in Gaza has said at least 51,300 Palestinians have been killed since the war began in the wake of the October 7 attack by Hamas on southern Israel, during which at least 1,139 people were killed.Ben-Gvir has been one of the leading voices in Israel calling for the escalation of Israel’s assault on Gaza.A resident of an illegal Israeli settlement in the occupied West Bank, he has called for the resettlement of Gaza and glowingly endorsed Trump’s plan to forcibly displace residents of the Palestinian enclave.He initially resigned from the government of Israeli Prime Minister Benjamin Netanyahu in January, in opposition to a temporary ceasefire deal.Before rejoining the government in March, he called for Israel to cut off electricity and water and to bomb aid depots in Gaza as a six-week pause in fighting reached its end.Israeli attacks have continued after military operations resumed on March 18, with 1,928 Palestinians killed since then.While Trump had vowed to end the war upon taking office, a lasting ceasefire agreement has remained elusive.Meanwhile, France, Germany and the United Kingdom condemned on Wednesday the ongoing Israeli blocking of aid, food and medicine entering Gaza.They called the actions “intolerable”.",0,
308,aljazeera,"Israeli attacks on Gaza kill dozens, including several in Gaza City shelter",2025-04-23,news,https://www.aljazeera.com/news/2025/4/23/1452,"Israeli strikes have continued to pound the besieged Gaza Strip, killing dozens of Palestinians including several in an attack on a school-turned shelter, local sources have said.At least 40 Palestinians were killed in Israeli attacks on Wednesday, medical sources in the enclave told Al Jazeera. Among them are three who were killed in a strike on Deir el-Balah, and eight others who lose their lives when their home came under attack in Gaza City’s Shujayea neighbourhood.Gaza’s civil defence said four more bodies were pulled from two nearby homes.Meanwhile, more Palestinians succumbed to their burn wounds after an Israeli strike hit their shelter in Gaza City overnight, raising the death toll there to at least 13, with reports of six people remaining under the rubble.Rescue teams know at least six more victims remain trapped beneath the rubble in Gaza City, but they are unable to reach them, reported Al Jazeera’s Hani Mahmoud from the city.“It’s not just their inability to get to the area,” he said. “They lack the heavy equipment needed to remove the rubble and recover the bodies.”At least 105 Palestinians have sustained injuries across the territory in the past 24 hours, the Gaza Health Ministry reported.The latest attacks came as Palestinian Authority President Mahmoud Abbas urged Hamas to release the remaining Israeli captives in Gaza.Hamas, which governs Gaza and rivals Abbas’s PA, has said it would release all captives in exchange for a full Israeli withdrawal and a permanent end to the war – but has rejected Israel’s demand to disarm, calling it a “red line”.Despite a monthlong deadlock in ceasefire negotiations following Israel’s resumption of attacks on March 18, Qatar’s Prime Minister Sheikh Mohammed bin Abdulrahman bin Jassim Al Thani says Doha remains engaged in talks to end the war.A Hamas delegation arrived in Cairo on Tuesday to discuss a new truce proposal.Meanwhile, Israel is continuing to block aid, including food and medicine, from entering Gaza for an eighth straight week.In unusually strong criticism, France, Germany and the United Kingdom called Israel’s blockade “intolerable”.“Humanitarian aid must never be used as a political tool and Palestinian territory must not be reduced nor subjected to any demographic change. Israel is bound under international law to allow the unhindered passage of humanitarian aid,” a joint European statement said.Since Israel’s assault resumed, ending a two-month fragile ceasefire earlier this year, at least 1,928 Palestinians have been killed, pushing the total death toll above 51,300, according to Gaza’s Health Ministry.",1,
309,aljazeera,Deadly Israeli strike burns school and tent shelter in Gaza city,2025-04-23,program/newsfeed,https://www.aljazeera.com/program/newsfeed/2025/4/23/deadly-israeli-strike-burns-school-and-tent-shelter-in-gaza-city,"The Israeli military bombed a school sheltering forcibly displaced Palestinian families in Gaza city, killing at least 10 people including a child that burned to death. There have been multiple attacks on tent encampments across Gaza in the past week that killed over 60 Palestinians.",1,
310,aljazeera,Yemen’s Houthis launch rare missile attack on northern Israel,2025-04-23,news,https://www.aljazeera.com/news/2025/4/23/yemens-houthis-launch-rare-attack-on-northern-israel,"Yemen’s Houthi rebels have launched a ballistic missile towards northern Israel, according to the Israeli military, which claimed to have shot down the projectile without causing any injuries.Shortly after 4am local time (01:00 GMT) on Wednesday, the Israeli army said that the missile triggered air raid sirens in Haifa, Krayot and other areas west of the Sea of Galilee.This area is a rare target for the Iran-backed Houthi rebels, who continue to be the target of an intense United States air strike campaign.Since the war in Gaza broke out in October 2023, the Houthis have repeatedly fired missiles and drones at Israel in what they say is a show of solidarity with the Palestinians.The rebel group controls swaths of Yemen, and Israel has struck Houthi targets several times inside the country, including in the capital, Sanaa.The Houthis claimed responsibility for the attack several hours later, with military spokesman Yahya Saree saying the group had carried out the attack on “a vital Zionist enemy target in the occupied area of Haifa”.“The missile reached its target… and interception systems failed to intercept it, causing fear and panic,” he added.Meanwhile, US air strikes, part of an almost daily campaign that began on March 15, continued targeting the Houthis on Wednesday morning. The Houthis reported US strikes on the Hodeidah, Marib and Saada governorates.In Marib, the Houthis described a strike hitting telecommunications equipment, which had previously been a US target.The Houthis, in response, have stepped up their targeting of US drones flying over the country. Houthi military spokesman Brigadier General Yahya Saree said late on Tuesday that the rebels had shot down an MQ-9 Reaper drone over Yemen’s northwest Hajjah governorate.MQ-9 Reaper drones, which cost about $30m apiece, can fly at altitudes of more than 40,000 feet (12,100 metres) and remain in the air for more than 30 hours.The US military and CIA have flown them for years over Afghanistan, Iraq, and now Yemen.The Houthis claim to have downed 26 MQ-9s over the past decade of the Yemen war.The US military acknowledged the report of the drone being downed but said it could not comment further.The US military says it is targeting Houthi “terrorists” to stop attacks on international shipping in the Red Sea, a crucial global trade route, and Israel.",1,
311,aljazeera,Child among at least 10 killed in Israeli attack on school shelter in Gaza,2025-04-23,news,https://www.aljazeera.com/news/2025/4/23/child-among-at-least-10-killed-in-israeli-attack-on-school-shelter-in-gaza,"At least 10 people have been killed in an Israeli attack that sparked a fire at a school sheltering displaced people in Gaza City, including one child who was burned to death in the blaze.The Palestinian Civil Defence said its emergency workers recovered 10 bodies early on Wednesday morning after the attack on the school, where forcibly displaced people had taken shelter. A large number of people were also injured, it said in a post on the Telegram messaging platform.“Children are being burned while they sleep in the tents of the displaced,” Al Jazeera correspondent Anas al-Sharif wrote on social media after the attack.“There are no safe areas, and no survivors of this genocide. Gaza City and its northern areas have been subjected to heavy Israeli shelling and artillery fire for hours,” he said.Video footage shared on social media after the attack on the school-turned-shelter showed flames engulfing tent structures and canvas covering melting onto the remains of burning chairs and what appeared to be a bed frame.The civil defence also issued an urgent appeal for assistance from the International Committee of the Red Cross to help rescue people trapped under the rubble following Israel’s bombing of two homes in Gaza City’s Tuffah neighbourhood.“Trapped people are calling for help to rescue them from under the rubble of homes,” the civil defence said in a statement, adding that emergency workers were unable to reach the area because it was too dangerous, as the area is designated a “no-go” zone by Israeli forces.Our colleagues at Al Jazeera Arabic and local Palestinian media also reported that a child was among two people killed on Wednesday morning in an Israeli attack on tent shelters in northern Gaza’s Jabalia refugee camp.One person was also reported killed and several injured in an Israeli drone attack on tent shelters in the so-called al-Mawasi “safe zone”, south of Khan Younis in southern Gaza.Intense Israeli artillery fire and air attacks were reported across the Strip in the early hours of the morning.",1,
312,aljazeera,‘He gave us strength’: Gaza Christians remember calls with Pope Francis,2025-04-22,news,https://www.aljazeera.com/news/2025/4/22/he-gave-us-strength-gaza-christians-remember-calls-with-pope-francis,"Gaza City, Palestine – For 72-year-old Kamal Anton, Pope Francis was a source of comfort and support.Kamal has had to shelter since the start of the war in the same Catholic church compound in Gaza City – the Holy Family Church – that his wife and daughter were shot and killed by an Israeli sniper in.That was in December 2023, two months after the start of Israel’s war. Anton and the more than two million Palestinians in Gaza have often felt abandoned in the 18 months of conflict, in which more than 50,000 Palestinians have been killed, with hope of an end to the war still feeling remote.But the late pope, who died aged 88 in the Vatican City on Monday after a battle with illness, was in constant contact with Gaza’s small Christian community. Before his illness, he held calls every evening with those sheltering at the church, and continued to reach out, on a less regular basis, even after he fell ill.Kamal remembered his most recent call on Saturday, just two days before his death. Pope Francis was greeting the members of the church for Easter.“During his call, he prayed for peace and resilience for us in Gaza,” Kamal said. “He never forgot the word ‘peace’ in any of his calls with us throughout the war. His support included all of us – Christians and Muslims alike. He prayed daily for our safety.”A deep sense of grief and sorrow permeates the Holy Family Church, where approximately 550 displaced Palestinian Christians continue to seek shelter.Israel has attacked the church and its neighbouring school several times during the war, including a July 2024 attack in which four people were killed. Another church, St Porphyrios Greek Orthodox Church, has also been bombed.But the Holy Family Church is still a refuge. People gather inside the church every day, piano music accompanies hymns during prayer, and people greet Father Gabriel Romanelli. He’s the parish priest, an Argentinian who came to Gaza to lead the church 15 years ago.After the death of the pope, those in the church have largely dressed in black, the colour of mourning.The loss of the leader of their church was a solemn enough event, but Palestinian Christians know they have also lost one of their greatest defenders – a world leader who has long backed the Palestinian cause, and has earned the anger of Israel on a number of occasions for his defence of Palestinians.In his final public speech delivered on his behalf on Easter, Francis called for peace in Gaza and urged the warring sides to “agree to a ceasefire, release the hostages, and provide aid to a starving people longing for a peaceful future”.Father Romanelli told Al Jazeera that the loss of Pope Francis was a tragedy for Christians around the world, and particularly in Gaza.He recalled that Saturday phone call with the pope.“He said he was praying for us, supporting us, and thanked us for our prayers,” Romanelli said. “People at the church waited for his call daily. He would speak to the children and reassure them. He was deeply human and incredibly supportive, especially during the war.”Kamal noted that support from Pope Francis was also material, in the form of aid arriving in Gaza until Israel blocked all entry of goods into Gaza in March, just before it unilaterally broke a ceasefire.“Everyone in Gaza knows how much the Vatican supported us,” Kamal said. “We always shared that aid with our Muslim neighbours too.”Kamal’s fellow Palestinian Christian, 74-year-old Maher Terzi, is also in mourning.Maher, who has been displaced since the first week of the war, had just sat in the mourning hall when he spoke to Al Jazeera.“He gave us strength,” Maher said. “He told us not to be afraid, that he was with us and would never abandon us, no matter what.”“He encouraged us to hold on to our land, and promised to help us rebuild our destroyed homes,” Maher added. “His death is a catastrophe and a shock for us during such a difficult time.”",0,
313,aljazeera,Detained pro-Palestine student activist meets US senator,2025-04-22,program/newsfeed,https://www.aljazeera.com/program/newsfeed/2025/4/22/detained-pro-palestine-student-activist-meets-us-senator,A US senator shared a video of his meeting with detained Columbia University student Mohsen Mahdawi who was taken into custody by immigration officials over his role in pro-Palestine protests on campus.,0,
314,aljazeera,"Palestinian activist Khalil denied release for son’s birth, wife says",2025-04-22,news,https://www.aljazeera.com/news/2025/4/22/palestinian-activist-khalil-denied-release-for-sons-birth-wife-says,"Mahmoud Khalil, the pro-Palestinian activist who has been detained in the United States pending his deportation, has missed the birth of his son after being refused temporary release to attend the birth, his wife has said.Noor Abdalla said on Monday that she gave birth to the couple’s first child in New York without Khalil present after US Immigration and Customs Enforcement made the “purposeful decision” to make her family suffer.“My son and I should not be navigating his first days on earth without Mahmoud,” Abdalla, a US citizen, said in a statement.“ICE and the Trump administration have stolen these precious moments from our family in an attempt to silence Mahmoud’s support for Palestinian freedom.”“I will continue to fight every day for Mahmoud to come home to us,” Abdalla added.“I know when Mahmoud is freed, he will show our son how to be brave, thoughtful, and compassionate, just like his dad.”ICE did not immediately respond to a request for comment.Khalil, a graduate student at Columbia University who played a prominent role in last year’s campus protests against Israel’s war in Gaza, was detained by immigration authorities on March 8 as part of US President Donald Trump’s crackdown on pro-Palestinian activism.The Trump administration is seeking to deport Khalil, who is being detained at an ICE facility in Louisiana, claiming that his advocacy has undermined US efforts to “combat anti-Semitism” and “protect Jewish students from harassment and violence”.Khalil, who is a permanent US resident, has denied engaging in anti-Semitism.An immigration judge in Louisiana earlier this month ruled that the Trump administration could proceed with deportation proceedings against Khalil, finding that the government had “established by clear and convincing evidence that he is removable”.Khalil’s lawyers have said they will appeal the decision.",0,
315,aljazeera,Israeli report on killing of Palestinian medics in Gaza: What to know,2025-04-21,news,https://www.aljazeera.com/news/2025/4/21/israeli-report-on-killing-of-palestinian-medics-in-gaza-what-to-know,"The Israeli army has described its killing of 15 emergency workers in Gaza and burying them and their vehicles as a “professional error”.The bodies of 14 humanitarian workers were found in a mass grave along with their crushed vehicles a week after coming under Israeli fire in late March. One body had been found a few days before.The army said it had “shrouded” the bodies with cloth and sand to protect them until humanitarian organisations could retrieve them.Israel had blocked access to the site for days, later insisting it was not an attempt to cover up the attack.Here’s what to know about the attack, Israel’s claims and how the investigation stacks up against other evidence:A video found on the phone of slain paramedic Rifaat Radwan shows the team’s final moments.The video, filmed from inside one of the last two ambulances to head out, shows a firetruck and ambulances driving ahead through the night.All vehicles were clearly identified with emergency lights flashing.The vehicles stopped when they see an ambulance and bodies by the roadside, and first responders in reflective uniforms exit the vehicles. Moments later, intense gunfire erupts.As the gunfire continues, Radwan can be heard asking his mother for forgiveness and reciting the Islamic declaration of faith, the Shahada, before he dies.After a review, the Israeli military described the killings as “professional failures” and a “misunderstanding”. Nobody has been charged.It dismissed a deputy commander for “providing an incomplete report” and reprimanded a commanding officer.Major General Yoav Har-Even, who conducted the review, said two responders were killed in an initial incident, 12 people were killed in a second shooting and another person was killed in a third incident.“The fire in the first two incidents resulted from an operational misunderstanding by the troops, who believed they faced a tangible threat from enemy forces. The third incident involved a breach of orders during a combat setting,” the military statement said.Troops bulldozed over the bodies and their mangled vehicles, but the investigation said that was not an attempt to conceal the attack.The Military Advocate General’s Corps, meant to be an independent body under Israel’s attorney general and Supreme Court, can now decide whether to file civil charges.The investigative report said soldiers did not recognise the ambulances due to “poor night visibility” and because flashing lights are less visible on night-vision drones and goggles.It also blamed the now-dismissed deputy commander, saying he mistakenly thought the ambulance was being used by Hamas and opened fire first.Israel has tried to justify previous attacks on protected entities by saying Hamas hides among civilians and uses ambulances to carry out operations.Har-Even told reporters that one of the humanitarian workers at the scene was questioned over suspected Hamas links. The man, Munther Abed, was released the next day.Before the video of the attack was found, Israel’s military had said the ambulances had been “advancing suspiciously” towards its soldiers “without headlights or emergency signals”.The first responders were “in their uniforms, still wearing gloves” when they were killed, said Jonathan Whittall, the head of the UN Office for the Coordination of Humanitarian Affairs (OCHA) in the Palestinian territory.Gaza Civil Defence spokesperson Mahmoud Bassal said several team members were found with their hands and feet bound and bullet wounds to the head and torso, indicating they were executed at close range after being identified as humanitarian workers.Without offering proof, the Israeli investigative report said six of those killed were “Hamas members” although no Palestinian fighters were reported found in the mass grave.Har-Even told reporters that no paramedic was armed and no weapons were found in any vehicle.An Israeli military official said the bodies had been covered “in sand and cloth” to preserve them until their retrieval could be coordinated with international organisations.The army also said it has found “no evidence to support claims of execution” and “such claims are blood libels and false accusations against [Israeli] soldiers”.Human rights groups and international legal experts said Israel’s self-reviews often lack independence and transparency.Israel said it reviews its military’s conduct through internal probes led by its military advocate general, who decides whether to pursue criminal investigations.But the military has a track record of denying wrongdoing, contradicting itself or blaming low-ranking individuals without broader repercussions for the armed forces.In 2022, it claimed Al Jazeera journalist Shireen Abu Akleh was killed by Palestinian fire until several media investigations debunked that. Israel later admitted it may have shot her “accidentally” but ruled out a criminal probe.In January, the International Criminal Court’s top prosecutor defended seeking arrest warrants for Israeli Prime Minister Benjamin Netanyahu and his former Defence Minister Yoav Gallant, citing Israel’s failure to genuinely investigate allegations of war crimes.The PRCS and the Israeli rights organisation Breaking the Silence have rejected the findings of the Israeli probe.“It is incomprehensible why the occupation soldiers buried the bodies of the paramedics,” PRCS President Younis al-Khatib told Al Araby TV.He said evidence such as the video proved “the falsehood of the occupation’s narrative”, adding that the Israeli army communicated with the paramedics before killing them.",1,
