"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
38,"1","2025-06-11T18:32:45.556998Z",38,1.081,"relevant","IDF says Islamic Jihad members targeted in hospital strike were ‘operating under the guise of journalists’,","2025-06-11T18:32:45.557015Z"
39,"1","2025-06-11T18:32:46.873085Z",39,1.045,"relevant","Hamas says IDF troops ‘besieging’ part of Gaza where hostage Matan Zangauker is held,","2025-06-11T18:32:46.873104Z"
40,"1","2025-06-11T18:32:49.054001Z",40,1.906,"irrelevant","Thailand says ‘deeply saddened’ by death of hostage Nattapong Pinta,","2025-06-11T18:32:49.054019Z"
41,"1","2025-06-11T18:32:51.000918Z",41,1.67,"relevant","IDF believes it located body of Hamas leader Mohammed Sinwar, killed in Gaza strike last month,","2025-06-11T18:32:51.000937Z"
42,"1","2025-06-11T18:32:53.214351Z",42,1.948,"relevant","Report: UN conference to discuss steps toward recognition of Palestinian state rather than declaration,","2025-06-11T18:32:53.214372Z"
43,"1","2025-06-11T18:33:00.438073Z",43,6.945,"irrelevant","At least 5 killed in Russian strikes on Ukraine, officials say,","2025-06-11T18:33:00.438090Z"
44,"1","2025-06-11T18:33:03.778103Z",44,3.059,"relevant","Ceremony to be held at Ben Gurion Airport for repatriation of body of slain Thai hostage Nattapong Pinta,","2025-06-11T18:33:03.778121Z"
45,"1","2025-06-11T18:33:05.668421Z",45,1.637,"relevant","Hostage forum: Return of hostage Nattapong Pinta’s body from Gaza underscores urgency for a deal,","2025-06-11T18:33:05.668438Z"
46,"1","2025-06-11T18:33:09.144219Z",46,3.198,"relevant","Activist aid ship carrying Greta Thunberg reaches Egyptian coast as it heads for Gaza,","2025-06-11T18:33:09.144238Z"
47,"1","2025-06-11T18:33:11.428506Z",47,2.011,"relevant","CEO of Boston Consulting Group said to apologize for involvement in Gaza aid mechanism,","2025-06-11T18:33:11.428524Z"
48,"1","2025-06-11T18:33:14.089152Z",48,2.382,"relevant","IDF believes Thai hostage Pinta Nattapong was abducted alive, murdered in captivity,","2025-06-11T18:33:14.089171Z"
49,"1","2025-06-11T18:33:16.058894Z",49,1.69,"relevant","Body of Thai hostage Pinta Nattapong recovered from Gaza in IDF, Shin Bet operation,","2025-06-11T18:33:16.058912Z"
50,"1","2025-06-11T18:33:17.976151Z",50,1.64,"relevant","12 killed in overnight strike on Khan Younis tent camp, Palestinian media reports; no comment from IDF,","2025-06-11T18:33:17.976169Z"
51,"1","2025-06-11T18:33:19.213780Z",51,0.965,"relevant","Israeli officials: Lebanon army was told about Hezbollah drone sites a week before strikes, but failed to act,","2025-06-11T18:33:19.213796Z"
52,"1","2025-06-11T18:33:20.475118Z",52,17.565,"irrelevant","Panama president calls in archbishop, rabbi in bid to mediate with striking banana workers,","2025-06-11T18:33:44.312444Z"
53,"1","2025-06-11T18:33:51.295441Z",53,3.437,"irrelevant","Man, 14-year-old boy killed in collision between vehicle, police car near Segev Shalom,","2025-06-11T18:33:51.295460Z"
54,"1","2025-06-11T18:33:54.275270Z",54,2.702,"relevant","Pentagon watchdog investigating if staffers were asked to delete Hegseth’s Signal messages,","2025-06-11T18:33:54.275287Z"
55,"1","2025-06-11T18:34:06.186599Z",55,11.632,"irrelevant","Iran claims US travel ban shows ‘deep hostility toward Iranians and Muslims’,","2025-06-11T18:34:06.186617Z"
56,"1","2025-06-11T18:34:09.351867Z",56,2.876,"relevant","Trump insists nuclear deal won’t let Iran enrich uranium,","2025-06-11T18:34:09.351884Z"
57,"1","2025-06-11T18:34:12.057834Z",57,2.426,"relevant","At Israel’s request, US mulls giving $500M to fund Gaza aid group’s operations — Reuters,","2025-06-11T18:34:12.057894Z"
58,"1","2025-06-11T18:34:13.995382Z",58,1.659,"relevant","US Supreme Court allows DOGE broad access to Social Security data,","2025-06-11T18:34:13.995402Z"
59,"1","2025-06-11T18:34:16.086102Z",59,1.805,"relevant","IDF reservist moderately wounded by mortar fire in Gaza City,","2025-06-11T18:34:16.086119Z"
60,"1","2025-06-11T18:34:25.893426Z",60,9.52,"relevant","Hamas spokesman after IDF troops killed: We’ll continue hurling ‘David’s stones’ at ‘Gideon’s Chariots’,","2025-06-11T18:34:25.893445Z"
61,"1","2025-06-11T18:34:29.741808Z",61,3.583,"relevant","Iran FM says Tehran will respond to US nuclear deal proposal in coming days,","2025-06-11T18:34:29.741825Z"
62,"1","2025-06-11T18:34:31.942581Z",62,1.904,"relevant","Abrego Garcia on way to US to face criminal charges, ABC News reports,","2025-06-11T18:34:31.942603Z"
63,"1","2025-06-11T18:34:38.274171Z",63,6.033,"relevant","Palestinian under psychiatric evaluation after hitting rabbi in France,","2025-06-11T18:34:38.274189Z"
64,"1","2025-06-11T18:34:44.184584Z",64,5.628,"irrelevant","Four killed, 80 wounded in intense Russian air attacks on Ukraine,","2025-06-11T18:34:44.184599Z"
65,"1","2025-06-11T18:34:51.003180Z",65,6.531,"irrelevant","Following Trump pardon, Proud Boys leaders involved in January 6 insurrection file $100 million lawsuit,","2025-06-11T18:34:51.003198Z"
66,"1","2025-06-11T18:34:58.365522Z",66,7.085,"irrelevant","US, China to hold trade talks on June 9 in London, Trump says,","2025-06-11T18:34:58.365542Z"
67,"1","2025-06-11T18:35:03.219897Z",67,4.569,"irrelevant","US feds warn of ‘elevated threat’ to Jewish communities after Boulder and DC attacks,","2025-06-11T18:35:03.219918Z"
68,"1","2025-06-11T18:35:06.688760Z",68,3.168,"relevant","Report: ITA Airways to resume Israel flights on July 6,","2025-06-11T18:35:06.688779Z"
69,"1","2025-06-11T18:35:10.808520Z",69,3.845,"relevant","Palestinian detained in France after rabbi hit with chair,","2025-06-11T18:35:10.808536Z"
70,"1","2025-06-14T12:04:52.448527Z",70,8.836,"relevant","Jailed Egyptian-UK activist looks ‘very thin’ after 98 days on hunger strike: sister,","2025-06-14T12:04:52.448547Z"
71,"1","2025-06-14T12:05:03.593323Z",71,10.867,"relevant","French rabbi tells of two attacks in one week as hate crimes rise,","2025-06-14T12:05:03.593342Z"
72,"1","2025-06-14T12:05:16.276419Z",72,12.413,"relevant","France condemns recent IDF strikes in Beirut, urges Israeli withdraw from Lebanon,","2025-06-14T12:05:16.276439Z"
73,"1","2025-06-14T12:05:20.794825Z",73,4.249,"relevant","Hamas authorities raise death toll from Friday Israeli strikes to 38,","2025-06-14T12:05:20.794844Z"
74,"1","2025-06-14T12:05:24.641897Z",74,3.513,"irrelevant","Weinstein concedes he acted ‘immorally’ as jury weighs his fate,","2025-06-14T12:05:24.641917Z"
75,"1","2025-06-14T12:05:27.044326Z",75,2.131,"relevant","IDF says Zamir approved new battle plans for Gaza,","2025-06-14T12:05:27.044344Z"
76,"1","2025-06-14T12:05:30.213710Z",76,2.855,"relevant","After soldiers killed, IDF says troops have no choice but to enter Gaza buildings to check for tunnels,","2025-06-14T12:05:30.213727Z"
77,"1","2025-06-14T12:05:35.837802Z",77,5.295,"irrelevant","US issues new round of Iran-related sanctions,","2025-06-14T12:05:35.837828Z"
78,"1","2025-06-14T12:05:41.009171Z",78,4.836,"irrelevant","Three Iranians in UK court accused of assisting Tehran spy service,","2025-06-14T12:05:41.009191Z"
79,"1","2025-06-14T12:05:48.798825Z",79,7.484,"irrelevant","Most Israelis not convinced current military operation will free hostages or topple Hamas — poll,","2025-06-14T12:05:48.798843Z"
80,"1","2025-06-14T12:05:54.261416Z",80,5.155,"relevant","Netanyahu says 4 fallen troops ‘gave their lives for all of our security’,","2025-06-14T12:05:54.261436Z"
81,"1","2025-06-14T12:05:57.998998Z",81,3.438,"irrelevant","UAE multi-billion dollar AI data campus deal far from finalized, sources say,","2025-06-14T12:05:57.999016Z"
82,"1","2025-06-14T12:06:00.246013Z",82,1.935,"relevant","4 IDF soldiers killed, 5 wounded after booby-trapped south Gaza building collapses — army,","2025-06-14T12:06:00.246032Z"
83,"1","2025-06-14T12:06:03.431035Z",83,2.885,"irrelevant","Caitlyn Jenner to attend Tel Aviv Pride for first time,","2025-06-14T12:06:03.431052Z"
84,"1","2025-06-14T12:06:07.314146Z",84,3.583,"relevant","GHF says it distributed 8,160 food boxes before closing 2 sites due to overcrowding,","2025-06-14T12:06:07.314163Z"
85,"1","2025-06-14T12:06:10.258049Z",85,2.62,"relevant","GHF says it closed sites early today due to ‘excessive crowding that made it unsafe to proceed’,","2025-06-14T12:06:10.258070Z"
86,"1","2025-06-14T12:06:12.746438Z",86,2.184,"irrelevant","Trump has no plans for Musk call — White House official,","2025-06-14T12:06:12.746457Z"
87,"1","2025-06-14T12:06:14.411116Z",87,1.36,"relevant","16 Palestinians killed in Israeli strikes on Gaza on Friday, Hamas health officials say,","2025-06-14T12:06:14.411142Z"
88,"1","2025-06-14T12:06:20.032528Z",88,5.309,"irrelevant","Police investigating shattered window on Supreme Court building following large right-wing protest at the scene,","2025-06-14T12:06:20.032547Z"
89,"1","2025-06-14T12:06:24.418612Z",89,4.075,"relevant","IDF tells Gazans they can only approach aid distribution points between 6 a.m. and 6 p.m. every day,","2025-06-14T12:06:24.418784Z"
90,"1","2025-06-14T12:06:27.945276Z",90,3.206,"relevant","London rejecting requests to stop activist group sailing under UK flag from reaching Israeli waters, official says,","2025-06-14T12:06:27.945292Z"
91,"1","2025-06-14T12:06:30.331667Z",91,2.084,"relevant","GHF says two aid centers were open in Rafah today, after saying all distribution points would be closed,","2025-06-14T12:06:30.331685Z"
92,"1","2025-06-14T12:06:33.205414Z",92,2.554,"relevant","Report: French anti-terror prosecutors open ‘incitement to genocide’ probe into French-Israelis suspected of blocking aid for Gaza,","2025-06-14T12:06:33.205475Z"
93,"1","2025-06-14T12:06:36.244184Z",93,2.708,"relevant","Iran warns Western powers against ‘strategic mistake’ of submitting resolution at IAEA that finds Tehran in non-compliance,","2025-06-14T12:06:36.244203Z"
94,"1","2025-06-14T12:06:39.645363Z",94,3.073,"irrelevant","Lufthansa to ‘gradually’ restart Israel flights from June 23,","2025-06-14T12:06:39.645383Z"
95,"1","2025-06-14T12:06:43.343985Z",95,3.398,"relevant","Three Serbs charged with carrying out recent paint attack on Paris synagogues, Holocaust memorial on behalf of ‘foreign power’,","2025-06-14T12:06:43.344004Z"
96,"1","2025-06-14T12:07:09.043995Z",96,25.389,"irrelevant","David Zini concludes military service after being chosen by Netanyahu to lead Shin Bet,","2025-06-14T12:07:09.044020Z"
97,"1","2025-06-14T12:07:12.311855Z",97,2.96,"relevant","GHF says all Gaza aid distribution sites closed again today, and until further notice,","2025-06-14T12:07:12.311873Z"
98,"1","2025-06-14T12:07:14.744311Z",98,2.093,"relevant","Lebanese army says Israel trying to ‘undermine’ country’s ‘revival’ with Beirut airstrikes,","2025-06-14T12:07:14.744329Z"
99,"1","2025-06-14T12:07:16.060714Z",99,0.986,"relevant","Iran slams Israeli ‘aggression against Lebanon’ after strikes on Hezbollah facilities in Beirut,","2025-06-14T12:07:16.060744Z"
100,"1","2025-06-14T12:07:20.576699Z",100,14.644,"irrelevant","Astronomical food prices and dearth of livestock leave Gazans struggling to celebrate Eid al-Adha,","2025-06-14T12:07:34.823623Z"
101,"1","2025-06-14T12:07:40.976188Z",101,4.767,"irrelevant","Orthodox parties win 40% of US World Zionist Congress vote as right-wing bloc dominates,","2025-06-14T12:07:40.976206Z"
102,"1","2025-06-14T12:07:43.859722Z",102,2.579,"relevant","Israeli Navy expected to block ‘Freedom Flotilla’ protest ship headed for Gaza,","2025-06-14T12:07:43.859740Z"
103,"1","2025-06-14T12:07:48.824026Z",103,4.643,"irrelevant","Gazans pray amid ruins of mosques as they mark start of Eid al-Adha,","2025-06-14T12:07:48.824046Z"
104,"1","2025-06-14T12:07:52.772023Z",104,4.955,"irrelevant","Four said killed in Russian drone strikes on Ukrainian capital overnight,","2025-06-14T12:07:56.228486Z"
105,"1","2025-06-14T12:08:05.094888Z",105,6.177,"irrelevant","US judge puts temporary block on Trump’s entry ban for Harvard international students,","2025-06-14T12:08:05.094905Z"
106,"1","2025-06-14T12:08:10.722498Z",106,5.316,"irrelevant","Iran said to order ingredients from China that can make hundreds of ballistic missiles,","2025-06-14T12:08:10.722515Z"
107,"1","2025-06-14T12:08:15.857791Z",107,4.828,"relevant","PM’s office thanks Trump administration for sanctioning ‘politicized judges of the ICC’,","2025-06-14T12:08:15.857809Z"
108,"1","2025-06-14T12:08:31.555491Z",108,15.384,"irrelevant","Chicago private equity firm has stake in logistics company involved in Gaza aid effort,","2025-06-14T12:08:31.555510Z"
109,"1","2025-06-14T12:08:36.940408Z",109,5.074,"irrelevant","Colorado firebombing attacker indicted on 118 counts, including attempted murder,","2025-06-14T12:08:36.940426Z"
110,"1","2025-06-14T12:08:39.874012Z",110,2.6,"irrelevant","Harvard amends lawsuit against Trump administration to include foreign student ban,","2025-06-14T12:08:39.874029Z"
111,"1","2025-06-14T12:08:43.034912Z",111,2.84,"irrelevant","PM’s office reports ‘significant progress’ in talks with Edelstein on Haredi draft bill,","2025-06-14T12:08:43.034936Z"
112,"1","2025-06-14T12:08:44.671903Z",112,1.324,"relevant","IDF releases video of strikes on Hezbollah targets in Beirut and southern Lebanon,","2025-06-14T12:08:44.671922Z"
113,"1","2025-06-14T12:08:48.524794Z",113,3.549,"irrelevant","Report: Israel told US it won’t attack Iranian nuclear sites unless talks fail,","2025-06-14T12:08:48.524826Z"
114,"1","2025-06-14T12:08:51.435243Z",114,2.604,"irrelevant","Even Natasha Hausdorff missed Piers Morgan’s biggest error,","2025-06-14T12:08:51.435266Z"
115,"1","2025-06-14T12:08:54.091406Z",115,2.357,"irrelevant","The excruciating silence about antisemitic attacks,","2025-06-14T12:08:54.091425Z"
116,"1","2025-06-14T12:08:55.888363Z",116,1.485,"irrelevant","Will AI replace me? Not where it counts most,","2025-06-14T12:08:55.888382Z"
117,"1","2025-06-14T12:09:00.961832Z",117,4.767,"irrelevant","Sudan burns, Syria bleeds – but campus rage fixates on Israel,","2025-06-14T12:09:00.961850Z"
118,"1","2025-06-14T12:09:05.685387Z",118,4.406,"irrelevant","This is what I chose: A call to clarity from a Jew by choice in Maine,","2025-06-14T12:09:05.685406Z"
119,"1","2025-06-14T12:09:09.308153Z",119,3.293,"irrelevant","Is it time for compassionate Judaism to split with vengeful, racist Judaism?,","2025-06-14T12:09:09.308173Z"
120,"1","2025-06-14T12:09:11.322834Z",120,1.666,"irrelevant","J’Accuse: CNN and NYT stoke hatred with false allegations,","2025-06-14T12:09:11.322852Z"
121,"1","2025-06-14T12:09:15.593745Z",121,4.009,"irrelevant","South Africa’s chief rabbi gets it wrong when he calls crime ‘genocide’,","2025-06-14T12:09:15.593764Z"
122,"1","2025-06-14T12:09:17.190551Z",122,1.246,"irrelevant","I am not a ‘good Jew’,","2025-06-14T12:09:17.190569Z"
123,"1","2025-06-14T12:09:18.907320Z",123,1.422,"irrelevant","Waves and waves of love: An Orthodox ally at Pride,","2025-06-14T12:09:18.907338Z"
124,"1","2025-06-14T12:09:21.106463Z",124,1.868,"irrelevant","Love in the time of war: The struggle for relationships,","2025-06-14T12:09:21.106479Z"
125,"1","2025-06-14T12:09:22.193846Z",125,0.782,"irrelevant","How soon is too soon? School trips to October 7 sites,","2025-06-14T12:09:22.193862Z"
